Place,ID,Latitude,Longitude
RJ Bentley's,1790291,38.980503,-76.937669
Terrapin's Turf ,149335254,38.981051,-76.938385
Cornerstone,1714180,38.980669,-76.937592
Town Hall,359857977,38.990962,-76.933416
Looneys,996238264,38.991093,-76.934229
